precinct_station,incident_neighborhood,total_dispatches
W,MAGNOLIA,1581
W,DOWNTOWN COMMERCIAL,4089
W,FIRST HILL,1
W,QUEEN ANNE,4482
W,SLU/CASCADE,3322
W,CHINATOWN/INTERNATIONAL DISTRICT,1980
W,SANDPOINT,1
W,BELLTOWN,1607
W,PIONEER SQUARE,1014
W,EASTLAKE - WEST,577
N,ROOSEVELT/RAVENNA,3194
N,BALLARD SOUTH,3153
N,PHINNEY RIDGE,830
N,NORTHGATE,4015
N,UNIVERSITY,3143
N,FREMONT,1579
N,SANDPOINT,2269
N,BITTERLAKE,1525
N,WALLINGFORD,1556
N,GREENWOOD,1881
N,BALLARD NORTH,1709
N,LAKECITY,2055
SW,ROXHILL/WESTWOOD/ARBOR HEIGHTS,1066
SW,ALASKA JUNCTION,1251
SW,NORTH ADMIRAL,822
SW,HIGH POINT,666
SW,HIGHLAND PARK,822
SW,NORTH DELRIDGE,560
SW,SOUTH DELRIDGE,255
SW,PIGEON POINT,86
SW,MORGAN,828
SW,SOUTH PARK,517
SW,ALKI,410
SW,FAUNTLEROY SW,381
SW,COMMERCIAL HARBOR ISLAND,33
SW,COMMERCIAL DUWAMISH,41
E,BALLARD SOUTH,1
E,CAPITOL HILL,4487
E,FIRST HILL,2524
E,CENTRAL AREA/SQUIRE PARK,1966
E,JUDKINS PARK/NORTH BEACON HILL,824
E,MADRONA/LESCHI,929
E,MADISON PARK,331
E,MONTLAKE/PORTAGE BAY,609
E,MILLER PARK,643
E,EASTLAKE - EAST,102
S,COLUMBIA CITY,476
S,NORTH BEACON HILL,1337
S,GEORGETOWN,1189
S,SODO,1048
S,MID BEACON HILL,685
S,HILLMAN CITY,335
S,MOUNT BAKER,1179
S,CLAREMONT/RAINIER VISTA,482
S,RAINIER VIEW,578
S,LAKEWOOD/SEWARD PARK,375
S,SOUTH BEACON HILL,307
S,NEW HOLLY,358
S,BRIGHTON/DUNLAP,995
S,RAINIER BEACH,526
S,GENESEE,233
